App name,App status,Graph API access,Permission type,Consent type,Publisher,Last modified,Added on,Permission usage,Data usage,Privilege level
NAPS2,Disabled by user,Yes,Delegated,User (1),N/A,,2021-01-19T17:54:30.000Z,Some unused,0,High
NEO LMS SSO,Enabled,No,Delegated,User (1),N/A,2023-07-06T10:08:15.000Z,2023-07-06T10:08:15.000Z,N/A,0,None
NewAccountAutomation,Enabled,Yes,Mixed,Admin,N/A,2023-06-27T14:50:26.000Z,2022-08-24T07:46:55.000Z,N/A,0,High
Nine for Office 365,Enabled,No,Delegated,User (3),N/A,,2020-03-16T19:14:04.000Z,N/A,0,None
Noam-test-app,Enabled,Yes,Mixed,Admin,N/A,2023-03-23T09:45:20.000Z,2023-03-23T09:43:39.000Z,N/A,0,Medium
Notability,Disabled by user,Yes,Delegated,User (141),N/A,2023-10-27T15:02:52.000Z,2020-09-12T19:02:37.000Z,In use,0,High
ocidf,Disabled by user,Yes,Mixed,Admin,N/A,2023-10-31T16:47:25.000Z,2020-03-17T14:47:56.000Z,N/A,0,High
ocp-admin,Enabled,No,Application,Admin,N/A,,2022-05-24T13:29:52.000Z,N/A,0,None
ocp-coron.idf.cts,Enabled,No,Application,Admin,N/A,,2020-03-16T12:55:32.000Z,N/A,0,None
ocp-prin.idf.cts,Enabled,No,Application,Admin,N/A,,2020-03-22T10:46:55.000Z,N/A,0,None
ocp4-prod,Disabled by user,Yes,Application,Admin,N/A,2023-10-31T16:48:37.000Z,2020-03-15T15:05:21.000Z,N/A,0,High
ocp43-Playground,Enabled,No,Application,Admin,N/A,,2020-03-23T08:24:43.000Z,N/A,0,None
ocp43-preprod,Enabled,No,Application,Admin,N/A,,2020-03-17T09:29:31.000Z,N/A,0,None
Office 365 Mover,Disabled by user,Yes,Delegated,User (3),N/A,2023-02-01T14:30:08.000Z,2020-04-20T10:55:04.000Z,Some unused,0,High
officeatwork Template Chooser,Disabled by user,Yes,Delegated,User (2),officeatwork,2023-08-04T04:40:10.000Z,2023-06-06T22:20:26.000Z,In use,0,High
Oggy2021,Enabled,Yes,Delegated,User (7),N/A,,2021-04-27T09:38:30.000Z,Some unused,0,Medium
OnCommand Cloud Manager Wizard,Enabled,No,Delegated,User (3),N/A,,2020-04-22T07:55:33.000Z,N/A,0,None
One Calendar,Enabled,Yes,Delegated,User (11),Code Spark,2023-09-16T14:08:56.000Z,2022-03-09T03:16:45.000Z,Some unused,0,Medium
OneCalendar,Enabled,Yes,Delegated,User (10),N/A,,2019-07-25T17:06:02.000Z,Some unused,0,Medium
OneDrive,Disabled by user,Yes,Delegated,User (4),N/A,2023-10-23T14:42:48.533Z,2021-07-14T19:35:25.000Z,Some unused,0,High
OneDrive Addon for Kodi,Disabled by user,Yes,Delegated,User (1),N/A,,2020-11-23T22:39:14.000Z,Some unused,0,High
OneDrive Client for Linux,Disabled by user,Yes,Delegated,User (1),N/A,,2020-12-28T11:32:40.000Z,Some unused,0,High
OneDrive for Slack,Disabled by user,Yes,Delegated,User (1),N/A,2023-03-13T11:55:55.000Z,2023-03-13T11:55:55.000Z,Some unused,0,High
OneDrive for Slack,Disabled by user,Yes,Delegated,User (2),"Slack, Inc",2023-10-31T14:41:02.000Z,2023-03-13T09:15:25.000Z,Some unused,0,High
OneDrive Free Client,Disabled by user,Yes,Delegated,User (1),N/A,,2021-02-15T22:52:55.000Z,Some unused,0,High
OneDrive-MoodleShenkar,Disabled by user,Yes,Delegated,User (2),N/A,2023-10-31T14:41:44.000Z,2022-01-10T19:05:25.000Z,Some unused,0,High
OneSync,Disabled by user,Yes,Delegated,User (2),N/A,2023-10-31T14:42:02.000Z,2021-09-21T19:01:49.000Z,Some unused,0,High
openforce-service-principal,Enabled,Yes,Application,Admin,N/A,,2021-05-27T11:33:23.000Z,N/A,0,High
openidtest1,Enabled,No,Delegated,User (2),N/A,,2021-01-26T09:46:34.000Z,N/A,0,None
Opensense for Office365,Enabled,No,Delegated,User (1),N/A,2023-06-14T08:39:09.000Z,2023-06-14T08:39:09.000Z,N/A,0,None
openshift-public-sp,Enabled,No,Delegated,Admin,N/A,,2020-09-30T09:38:46.000Z,N/A,0,None
openshift-sp,Enabled,No,Application,Admin,N/A,,2019-11-24T11:41:45.000Z,N/A,0,None
Packer for Azure,Enabled,No,Delegated,User (1),N/A,,2020-06-11T19:50:16.000Z,N/A,0,None
PAW CSM PowerShell Tool,Enabled,Yes,Delegated,Admin,N/A,,2022-01-05T12:52:31.000Z,N/A,0,High
PDF Expert,Disabled by user,Yes,Delegated,User (27),N/A,2023-10-31T14:01:20.000Z,2020-02-27T02:36:00.000Z,In use,0,High
PDF Expert,Disabled by user,Yes,Delegated,User (1),N/A,,2020-01-18T16:06:15.000Z,Some unused,0,High
PDFSimpli,Disabled by user,Yes,Delegated,User (3),N/A,2023-10-31T14:42:41.000Z,2020-11-13T23:19:46.000Z,Some unused,0,High
Photopea,Disabled by user,Yes,Delegated,User (4),N/A,2023-10-07T21:51:11.000Z,2023-03-21T20:14:37.000Z,In use,0,High
PnP Management Shell,Disabled by user,Yes,Delegated,Admin,N/A,2023-10-31T14:05:14.000Z,2022-02-01T14:19:35.000Z,Some unused,0,High
Portal Aladdin - DEV,Enabled,Yes,Mixed,Admin,N/A,2023-09-10T11:00:54.000Z,2022-10-02T11:05:16.000Z,N/A,0,Medium
Portal Aladdin - PRD,Enabled,Yes,Mixed,Admin,N/A,2023-08-07T08:52:30.000Z,2022-04-06T08:21:15.000Z,N/A,0,High
Power BI Community,Enabled,No,Delegated,User (10),N/A,,2020-04-24T10:26:44.000Z,N/A,0,None
Power BI Tiles,Enabled,No,Delegated,User (3),DEVSCOPE,,2020-12-09T11:57:47.000Z,N/A,0,None
PowerApps and Flow - Azure AD,Enabled,Yes,Delegated,Admin,N/A,,2019-08-11T14:14:04.000Z,N/A,0,High
Powerlink Crm,Disabled by user,Yes,Delegated,User (3),N/A,2023-10-31T14:43:56.000Z,2020-06-10T08:32:04.000Z,Some unused,0,High
Priority Matrix Government,Disabled by user,Yes,Delegated,User (1),Appfluence Inc,2023-10-31T14:44:20.000Z,2022-08-26T08:21:46.000Z,Some unused,0,High
Priority Matrix HIPAA,Disabled by user,Yes,Delegated,User (1),Appfluence Inc,2023-10-31T14:44:37.000Z,2022-07-11T08:47:00.000Z,Some unused,0,High
Priority SMTP,Disabled by user,Yes,Delegated,User (1),Priority Software LTD.,2023-10-31T14:50:34.000Z,2022-12-15T09:57:20.000Z,Some unused,0,High
Project Gutenberg,Disabled by user,Yes,Delegated,User (3),N/A,2023-10-31T14:51:04.000Z,2022-02-24T14:08:39.000Z,Some unused,0,High
Rave Web App,Enabled,No,Delegated,User (2),N/A,,2021-11-29T23:13:58.000Z,N/A,0,None
Raven Software Prod,Disabled by user,Yes,Delegated,User (1),N/A,2023-10-31T14:51:30.000Z,2022-02-02T21:57:22.000Z,Some unused,0,High
rclone,Disabled by user,Yes,Delegated,User (2),N/A,2023-10-23T16:12:07.000Z,2022-10-03T03:06:57.000Z,Some unused,0,High
readandsignprod,Enabled,No,Delegated,User (7),N/A,,2020-04-07T15:42:26.000Z,N/A,0,None
Red Hat SSO,Enabled,No,Delegated,User (4),N/A,,2020-10-06T21:01:19.000Z,N/A,0,None
Requestateamapp,Enabled,Yes,Mixed,Admin,N/A,,2022-02-01T14:21:03.000Z,N/A,0,High
Rocketbook,Disabled by user,Yes,Delegated,User (16),N/A,2023-07-09T06:45:12.000Z,2020-05-19T07:34:27.000Z,Some unused,0,High
RoeeProject-app,Enabled,Yes,Delegated,Admin,N/A,2023-01-25T09:19:15.000Z,2023-01-13T13:29:44.000Z,N/A,0,Medium
ROMA,Enabled,No,Delegated,User (1),N/A,2023-03-13T15:29:01.000Z,2023-03-13T15:29:01.000Z,N/A,0,None
russmax7aad,Enabled,No,Delegated,User (2),N/A,,2021-01-13T11:16:50.000Z,N/A,0,None
SafeInCloud,Disabled by user,Yes,Delegated,User (2),Andrey Shcherbakov,2023-10-31T14:52:32.000Z,2021-05-22T21:44:02.000Z,Some unused,0,High
Salesforce,Disabled by user,Yes,Delegated,User (2),N/A,2023-10-31T14:52:50.000Z,2022-07-25T04:59:41.000Z,Some unused,0,High
Samsung Email,Disabled by user,Yes,Delegated,User (65),N/A,2023-10-31T14:53:34.000Z,2020-11-06T10:08:29.000Z,Some unused,0,High
Samsung Notes,Disabled by user,Yes,Delegated,User (1010),Samsung Electronics,2023-10-31T14:53:54.000Z,2020-11-16T06:46:34.000Z,Some unused,0,High
SAP Cloud Appliance Library,Enabled,No,Delegated,User (1),N/A,,2020-04-27T12:26:13.000Z,N/A,0,None
SDF,Disabled by user,Yes,Delegated,User (1),N/A,,2020-07-29T08:24:11.000Z,Some unused,0,High
Sejda PDF,Disabled by user,Yes,Delegated,User (3),N/A,2023-10-31T14:54:38.000Z,2021-05-16T10:49:31.000Z,Some unused,0,High
service-catalog-automation_CQzgg1l90Za4AUhb8r3qB82LIJbJHsyzN8i+PgTl5yc=,Enabled,Yes,Application,Admin,N/A,,2022-01-23T13:30:42.000Z,N/A,0,High
ServiceDesk Plus (Cloud),Disabled by user,Yes,Delegated,User (1),Zoho Corporation Private Ltd,,2021-04-18T14:40:06.000Z,Some unused,0,High
ServiceInHand,Enabled,Yes,Mixed,Admin,N/A,2023-10-17T15:48:23.000Z,2023-07-18T13:46:40.000Z,N/A,0,High
ServiceNowApp,Disabled by user,Yes,Delegated,User (28),N/A,2023-10-31T14:55:17.000Z,2020-04-20T15:47:16.000Z,Some unused,0,High
shachaf-openid-app,Enabled,Yes,Delegated,User (1),N/A,,2019-12-18T21:03:56.000Z,Some unused,0,Medium
ShareGate migration tool,Disabled by user,Yes,Delegated,User (1),Groupe GSoft,2023-10-31T14:55:37.000Z,2021-12-08T07:18:38.000Z,Some unused,0,High
SharePlus,Enabled,No,Delegated,User (1),N/A,,2022-07-04T14:34:55.000Z,N/A,0,None
SharePoint Online Client Extensibility Web Application Principal,Enabled,Yes,Delegated,Admin,N/A,,2020-04-08T12:42:28.000Z,Some unused,0,High
SharePointPnP.ProvisioningApp.Site,Disabled by user,Yes,Delegated,User (1),N/A,2023-10-31T14:55:57.000Z,2022-02-23T20:56:23.000Z,Some unused,0,High
Sheetgo,Disabled by user,Yes,Delegated,User (1),N/A,2023-10-31T14:56:16.000Z,2022-06-07T20:27:03.000Z,Some unused,0,High
shon-create-users,Enabled,Yes,Mixed,Admin,N/A,2023-10-19T10:00:33.000Z,2023-10-19T09:06:19.000Z,N/A,0,High
Smartbase by Digital - Dev/Test (Auth Code Flow),Enabled,Yes,Delegated,Admin,N/A,,2020-12-02T10:06:20.000Z,Some unused,0,Medium
SMS Backup and Restore,Disabled by user,Yes,Delegated,User (7),N/A,2023-07-16T14:11:28.000Z,2021-03-04T12:50:43.000Z,Some unused,0,High
Snyk Azure Marketplace Listing,Enabled,No,Delegated,User (3),N/A,,2020-03-15T14:12:43.000Z,N/A,0,None
Splunk Enterprise and Splunk Cloud,Enabled,No,Application,Admin,N/A,,2021-07-13T10:57:11.000Z,N/A,0,None
Storyboard That,Enabled,No,Delegated,User (4),N/A,2023-06-10T18:03:32.000Z,2020-04-28T13:52:13.000Z,N/A,0,None
Strongbox,Disabled by user,Yes,Delegated,User (1),PHOEBE CODE LIMITED,2023-10-31T14:56:58.000Z,2023-05-14T09:51:30.000Z,Some unused,0,High
Superhuman (Desktop),Enabled,Yes,Delegated,User (1),"Superhuman Labs, Inc.",2023-10-19T08:55:40.000Z,2023-10-19T08:55:40.000Z,Some unused,3.06 MB,High
Superhuman (Phone),Disabled by user,Yes,Delegated,User (1),"Superhuman Labs, Inc.",2023-10-31T14:57:24.000Z,2022-08-05T16:24:45.000Z,Some unused,0,High
Supernote Email,Disabled by user,Yes,Delegated,User (1),"Ratta Smart Technology Co.,Ltd.",2023-10-31T14:57:41.000Z,2023-01-16T12:26:14.000Z,Some unused,0,High
SyncGene,Disabled by user,Yes,Delegated,User (5),N/A,2023-04-26T20:36:07.000Z,2021-05-18T06:54:23.000Z,Some unused,0,High
TA/UTAX Mobile Print,Disabled by user,Yes,Delegated,User (1),N/A,2023-09-03T15:30:25.000Z,2023-09-03T15:30:25.000Z,Some unused,0,High
Takeaway Prod,Disabled by user,Yes,Delegated,User (1),N/A,2023-10-31T14:58:33.000Z,2021-12-16T12:52:38.000Z,Some unused,0,High
Tasks in a Box,Disabled by user,Yes,Delegated,User (8),N/A,,2020-04-25T20:05:10.000Z,Some unused,0,High
Tasks in a Box Mobile App,Enabled,No,Delegated,User (1),N/A,,2020-04-25T20:41:01.000Z,N/A,0,None
Teacher Dashboard 365,Disabled by user,Yes,Delegated,User (9),N/A,2023-10-31T14:59:08.000Z,2020-03-07T08:06:20.000Z,Some unused,0,High
Team Forms,Enabled,Yes,Delegated,User (33),VP LABS PTY LTD,2023-06-20T12:19:00.000Z,2022-12-19T09:33:55.000Z,Some unused,0,High
test-deploy-node-app,Enabled,No,Delegated,User (1),N/A,,2020-08-11T07:37:31.000Z,N/A,0,None
Thinglink,Disabled by user,Yes,Delegated,User (6),ThingLink,2023-01-15T15:40:38.000Z,2020-05-08T20:51:38.000Z,Some unused,0,High
Thunderbird,Disabled by user,Yes,Delegated,User (5),N/A,2023-02-05T21:24:23.000Z,2020-12-20T08:11:03.000Z,Some unused,0,High
Thunderbird,Disabled by user,Yes,Delegated,User (5),Mozilla Thunderbird,2023-10-31T14:59:56.000Z,2023-02-27T06:44:00.000Z,Some unused,0,High
TimeClock 365,Enabled,No,Delegated,User (38),N/A,2023-09-06T08:54:29.000Z,2021-01-01T07:48:29.000Z,N/A,0,None
tomshift,Enabled,No,Application,Admin,N/A,,2020-06-17T07:57:11.000Z,N/A,0,None
Trello,Disabled by user,Yes,Delegated,User (6),N/A,2023-10-31T15:00:36.000Z,2021-09-13T09:13:56.000Z,Some unused,0,High
Trello OneDrive Power-up,Disabled by user,Yes,Delegated,User (2),N/A,2023-10-31T15:01:03.000Z,2023-07-10T06:41:58.000Z,In use,0,High
TruNoteViewer,Disabled by user,Yes,Delegated,User (1),N/A,2023-10-31T15:01:20.000Z,2023-09-25T09:31:26.000Z,Some unused,0,High
TURKIZ-SEA-BSMCH-HERZL,Enabled,Yes,Delegated,User (1),N/A,2023-06-20T14:45:17.000Z,2023-06-20T08:58:14.000Z,Some unused,0,High
TURKIZ-SEA-BSMCH-MANTLE,Enabled,Yes,Delegated,User (2),N/A,2023-06-12T06:35:18.000Z,2023-03-26T14:36:50.000Z,Some unused,0,High
Turkiz-Starfish-Click-Mamram-PRD-001-eu-prd-ocr-sp,Enabled,Yes,Mixed,Admin,N/A,2023-11-23T09:40:53.000Z,2023-08-21T09:12:11.000Z,Some unused,377.48 GB,High
Turkiz-Starfish-ClickMamram-PRD-004-luzon-pt,Enabled,Yes,Mixed,Admin,N/A,2023-08-13T08:44:01.000Z,2023-08-13T08:36:25.000Z,N/A,0,Medium
Twobird,Disabled by user,Yes,Delegated,User (1),"Ginger Labs, Inc.",2023-10-31T15:02:56.000Z,2022-09-28T21:23:58.000Z,Some unused,0,High
TypeApp,Enabled,No,Delegated,User (1),N/A,,2020-04-12T15:28:34.000Z,N/A,0,None
Unito for Excel,Disabled by user,Yes,Delegated,User (1),Unito Inc,2023-10-31T15:03:35.000Z,2023-07-27T16:38:04.000Z,Some unused,0,High
VaultMe,Disabled by user,Yes,Delegated,User (1),"Unbounded Cloud LLC (dba VaultMe, VaultMe.com)",2023-10-31T15:03:57.000Z,2022-10-25T07:13:26.000Z,Some unused,0,High
Virto Apps,Disabled by user,Yes,Delegated,User (5),Virto solutions,2023-09-09T18:28:47.000Z,2022-09-05T15:57:59.000Z,Some unused,0,High
virtru-production-multi-tenant,Enabled,No,Delegated,User (2),N/A,2023-05-27T17:35:25.000Z,2022-07-27T19:05:37.000Z,N/A,0,None
vKiosk - PhotoChoose,Enabled,Yes,Delegated,User (71),N/A,2023-10-24T11:23:21.000Z,2021-12-31T08:08:43.000Z,Some unused,0,Medium
VMware Boxer,Disabled by user,Yes,Delegated,User (2),"Vmware, Inc.",2023-10-31T15:10:23.000Z,2022-04-02T16:44:57.000Z,Some unused,0,Medium
Voice Recorder,Disabled by user,Yes,Delegated,User (1),N/A,2023-02-01T14:21:59.000Z,2021-12-03T03:57:02.000Z,Some unused,0,High
VPN Server,Enabled,No,Application,Admin,N/A,,2019-09-10T08:01:11.000Z,N/A,0,None
Windows Configuration Designer (WCD),Enabled,No,Delegated,User (2),N/A,,2021-07-26T09:23:17.000Z,N/A,0,None
Windows Virtual Desktop,Enabled,Yes,Mixed,Admin,N/A,2023-05-29T11:22:58.000Z,2020-05-31T20:02:54.000Z,N/A,0,Medium
Windows Virtual Desktop Client,Enabled,No,Delegated,Admin,N/A,2023-09-11T13:45:39.000Z,2020-05-31T20:03:25.000Z,N/A,0,None
windowsazure.uservoice.com,Enabled,No,Delegated,User (5),N/A,,2020-09-21T12:16:37.000Z,N/A,0,None
wiz-c148523c-05f9-4dd5-8438-34fcd76c7052,Enabled,Yes,Application,Admin,N/A,,2023-10-23T12:22:53.000Z,N/A,0,High
Wondershare Filmora,Disabled by user,Yes,Delegated,User (1),Wondershare Global Limited,2023-10-31T15:05:34.000Z,2022-11-08T08:37:23.000Z,Some unused,0,High
WPS Office,Disabled by user,Yes,Delegated,User (1),N/A,2023-10-31T15:06:11.000Z,2022-10-21T11:51:29.000Z,Some unused,0,High
Wrike,Enabled,No,Delegated,User (2),N/A,2023-07-17T00:33:05.000Z,2021-09-05T11:00:57.000Z,N/A,0,None
Yahoo Exchange Sync,Enabled,Yes,Delegated,User (1),N/A,2023-08-07T16:12:12.000Z,2023-08-07T16:12:12.000Z,N/A,0,Medium
yatama-UserAutomationAccount_dJ+eQBjCnvoYkdfjWaC3wl+12FuvnH+tRTE7lkBALrM=,Enabled,No,Delegated,Admin,N/A,,2020-11-16T14:01:48.000Z,N/A,0,None
Yealink - Skype for Business Certified Phone,Enabled,No,Delegated,User (1),N/A,,2022-05-10T09:37:23.000Z,N/A,0,None
Zamzam,Enabled,No,Mixed,Admin,N/A,,2020-05-26T18:02:52.000Z,N/A,0,None
Zamzam-dev,Enabled,No,Delegated,User (1),N/A,,2020-05-26T19:09:29.000Z,N/A,0,None
Zapier,Enabled,Yes,Delegated,User (11),N/A,2023-09-18T18:01:50.000Z,2020-12-16T14:15:27.000Z,Some unused,0,High
Zapier Excel,Disabled by user,Yes,Delegated,User (7),N/A,2023-03-07T06:38:04.000Z,2021-01-28T11:23:11.000Z,Some unused,0,High
Zapier Outlook,Disabled by user,Yes,Delegated,User (8),N/A,2023-10-31T15:07:03.000Z,2020-07-06T20:13:55.000Z,Some unused,0,High
Zip RAR File Extractor,Disabled by user,Yes,Delegated,User (4),N/A,2023-06-03T15:51:09.000Z,2022-04-23T19:41:55.000Z,Some unused,0,High
Zoho CRM,Disabled by user,Yes,Delegated,User (1),Zoho Corporation Private Ltd,2023-06-13T09:07:30.000Z,2023-06-13T09:07:30.000Z,Some unused,0,High
Zoho Desk,Disabled by user,Yes,Delegated,User (1),Zoho Corporation Private Ltd,2023-10-31T15:07:59.000Z,2022-03-27T11:47:50.000Z,Some unused,0,High
Zoho Projects,Disabled by user,Yes,Delegated,User (2),Zoho Corporation Private Ltd,,2022-08-24T19:57:06.000Z,Some unused,0,High
Zoho Writer,Disabled by user,Yes,Delegated,User (1),Zoho Corporation Private Ltd,2023-10-31T15:08:26.000Z,2022-11-24T13:45:38.000Z,Some unused,0,High
Zoom,Enabled,Yes,Delegated,User (108),"Zoom Video Communications, Inc.",2023-10-30T11:29:53.000Z,2020-03-25T07:51:12.000Z,In use,0,Medium
Zoom for Sharepoint,Disabled by user,Yes,Delegated,User (17),N/A,2023-10-24T08:21:40.000Z,2020-12-22T12:58:30.000Z,Some unused,0,High
Zoom OneDrive,Disabled by user,Yes,Delegated,User (47),N/A,2023-09-04T10:38:35.000Z,2020-05-27T18:16:30.000Z,In use,0,High
Zoom Video Communications,Disabled by user,Yes,Delegated,User (2),N/A,2023-10-31T15:09:07.000Z,2020-03-22T08:43:44.000Z,Some unused,0,High